"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1604","test_login_with_valid_credentials[amotooriapril2023@gmail.com-12345]","tests","Wed Apr 02 11:48:43 IST 2025","broken","Wed Apr 02 11:48:45 IST 2025","TestLogin","test_Login","",""
"","860","test_search_without_entering_any_product","tests","Wed Apr 02 11:51:52 IST 2025","passed","Wed Apr 02 11:51:53 IST 2025","TestSearch","test_Search","",""
"","19931","test_register_with_mandatory_fields","tests","Wed Apr 02 11:50:05 IST 2025","passed","Wed Apr 02 11:50:25 IST 2025","TestRegister","test_Register","",""
"","1089","test_search_for_an_invalid_product","tests","Wed Apr 02 11:51:40 IST 2025","failed","Wed Apr 02 11:51:41 IST 2025","TestSearch","test_Search","",""
"","3301","test_search_for_a_valid_product","tests","Wed Apr 02 11:51:22 IST 2025","passed","Wed Apr 02 11:51:25 IST 2025","TestSearch","test_Search","",""
"","3564","test_login_with_invalid_email_and_valid_password","tests","Wed Apr 02 11:49:18 IST 2025","passed","Wed Apr 02 11:49:22 IST 2025","TestLogin","test_Login","",""
"","1542","test_login_with_valid_email_and_invalid_password","tests","Wed Apr 02 11:49:37 IST 2025","passed","Wed Apr 02 11:49:39 IST 2025","TestLogin","test_Login","",""
"","2000","test_login_with_valid_credentials[amotooriapril2025@gmail.com-12345]","tests","Wed Apr 02 11:49:05 IST 2025","passed","Wed Apr 02 11:49:07 IST 2025","TestLogin","test_Login","",""
"","7878","test_register_with_duplicate_email","tests","Wed Apr 02 11:50:51 IST 2025","passed","Wed Apr 02 11:50:59 IST 2025","TestRegister","test_Register","",""
"","3178","test_register_with_all_fields","tests","Wed Apr 02 11:50:36 IST 2025","passed","Wed Apr 02 11:50:39 IST 2025","TestRegister","test_Register","",""
"","4903","test_register_without_entering_any_fields","tests","Wed Apr 02 11:51:10 IST 2025","passed","Wed Apr 02 11:51:15 IST 2025","TestRegister","test_Register","",""
"","3425","test_login_without_entering_credentials","tests","Wed Apr 02 11:49:45 IST 2025","passed","Wed Apr 02 11:49:49 IST 2025","TestLogin","test_Login","",""
"","2098","test_login_with_valid_credentials[amotooriapril2024@gmail.com-12345]","tests","Wed Apr 02 11:48:56 IST 2025","passed","Wed Apr 02 11:48:58 IST 2025","TestLogin","test_Login","",""
